car_model,price,year_model,kms,color,fueltype
Suzuki Gixxer 250 ,$15.580.000,2024,0,Azul,Gasolina
"Suzuki Gixxer 250 Modelo, 2023, 12 Mil Kilómetros",$12.900.000,2023,12.000,Negro,Gasolina
Suzuki Gixxer 150 Fi 2023,$9.900.000,2023,10.000,Negro,Gasolina
Suzuki Gixxer 150 Fi 2022,$8.900.000,2022,11.000,Negro,Gasolina
Suzuki Gixxer 150 2020,$6.800.000,2020,26.000,Negro,Gasolina
Suzuki Gixxer 150 2020,$6.900.000,2020,22.000,Negro,Gasolina
Suzuki Gixxer 250 2022,$12.500.000,2022,17.000,Negro,Gasolina
Suzuki Gixxer 155 2019 ,$6.700.000,2019,26.000,Gris,Gasolina
Suzuki Gixxer 155 2021 ,$7.500.000,2021,18.000,Negro,Gasolina
Suzuki Gixxer 150 Fi Abs 2022,$9.200.000,2022,12.000,Negro,Gasolina
Suzuki Gixxer 155 2020,$6.900.000,2020,29.000,Blanco,Gasolina
Suzuki Gixxer 250 2023,$13.300.000,2023,15.000,Negro,Gasolina
Suzuki Gixxer Sf 250 2020,$11.600.000,2020,15.000,Negro,Gasolina
Suzuki Gixxer 250 2021,$12.600.000,2021,11.000,Negro,Gasolina
Suzuki Gixxer 250,$11.990.000,2021,32.000,Negro,Gasolina
Suzuki Gixxer Sf 155 2017,$5.900.000,2017,39.000,Negro,Gasolina
Gixxer F1 150 Abs Suzuki,$11.297.000,2024,0,Negro,Gasolina
Suzuki Gixxer 150 2023,$9.400.000,2023,6.500,Rojo,Gasolina
Suzuki Gixxer 150,$6.300.000,2020,72.000,Negro,Gasolina
Suzuki Gixxer 250 2023 ¡unico Dueño! ¡recibo Moto!,$11.790.000,2023,16.000,Negro,Gasolina
Suzuki Gixxer 250 Fi Abs 2022,$10.500.000,2022,11.500,Negro,Gasolina
Suzuki Gixxer 250 Sf 2022,$13.400.000,2022,18.000,Azul,Gasolina
"Suzuki Gixxer 250, Modelo 2023, 11.000 K",$11.700.000,2022,8.000,Azul,Gasolina
Gixxer 250,$11.800.000,2023,20.000,Azul,Gasolina
Gixxer 250,$9.500.000,2021,59.000,Azul,Híbrido
Suzuki - Gixxer Sf 250 Modelo 2025,$16.530.000,2025,1,Azul,Gasolina
Suzuki - Gixxer 250 Modelo 2025,$15.580.000,2025,1,Negro,Gasolina
Suzuki - Gixxer Fi Modelo 2025,$10.200.000,2025,1,Rojo,Gasolina
Suzuki - Gixxer Fi Abs Modelo 2025,$10.750.000,2025,1,Negro,Gasolina
Suzuki Gixxer 250 Mod. 2023,$12.500.000,2022,19.099,Negro,Gasolina
Suzuki Gixxer 250 Modelo 2021 Único Dueño,$12.800.000,2021,16.000,Plateado,Gasolina
 ,0,0,0,,
Suzuki Gixxer Fi Abs,$10.750.000,2025,0,Naranja,Gasolina
Suzuki Gixxer Sf 250,$16.530.000,2025,0,Gris,Gasolina
Suzuki Gixxer Fi Sin Abs,$10.200.000,2025,0,Azul,Gasolina
 ,0,0,0,,
Suzuki Gixxer 2018,$6.000.000,2018,44.500,Negro,Gasolina
"Suzuki, Gixxer 250 Sf",$14.500.000,2023,19.000,Azul,Gasolina
Suzuki Gixxer 250 2024,$14.000.000,2024,8.700,Negro,Gasolina
Gixxer Sf Fi Abs,$12.297.000,2025,0,Gris,Gasolina
Suzuki Gixxer Sf 250 - 2022,$12.600.000,2022,24.879,Negro,Gasolina
Suzuki Gixxer 250,$11.000.000,2020,28.350,Negro,Gasolina
Suzuki Gixxer 150cc Modelo 2021,$7.500.000,2021,36.000,Negro,Gasolina
Suzuki Gixxer 250 Entrega Inmediata 0 Kilómetros Mod 2024,$15.580.000,2025,1,Negro,Gasolina
Susuki Gixxer Sf 250,$15.000.000,2023,6.900,Negro,Gasolina
